fullname,class,order,family,genericName,genus,description
Cheracebus medemi,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The Colombian black-handed titi (Cheracebus medemi) is a species of titi, a type of New World monkey, endemic to Colombia. It was originally described in the genus Callicebus in 1963."
Cheracebus lugens,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The black titi, Cheracebus lugens, is a species of titi, a type of New World monkey, from South America. It is found in Brazil, Colombia, and Venezuela. It was described in 1811 as Calicebus lugens."
Cheracebus torquatus,Mammalia,Primates,Pitheciidae,Cheracebus,Cheracebus,"The collared titi (Cheracebus torquatus) is a species or a closely related complex of species of titi, a type of New World monkey, from South America."
Giraffa reticulata,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa,"The reticulated giraffe (Giraffa camelopardalis reticulata), also known as the Somali giraffe, is a subspecies of giraffe native to the Horn of Africa. It lives in Somalia, southern Ethiopia, and northern Kenya. There are approximately 8,500 individuals living in the wild. The reticulated giraffe was described and given its binomial name by British zoologist William Edward de Winton in 1899, however the IUCN currently recognizes only one species of giraffe with nine subspecies."
Giraffa tippelskirchi,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa,"The Masai giraffe (Giraffa camelopardalis tippelskirchii), also spelled Maasai giraffe, also called Kilimanjaro giraffe, is the largest subspecies of giraffe. It is native to East Africa. The Masai giraffe can be found in central and southern Kenya and in Tanzania. It has distinctive, irregular, jagged, star-like blotches which extend to the hooves. A median lump is usually present in males."
Cheirogaleus andysabini,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,Cheirogaleus,"The Montagne d'Ambre dwarf lemur or Andy Sabin's dwarf lemur (Cheirogaleus andysabini) is a species of dwarf lemur known only from Amber Mountain National Park and the surrounding area in northern Madagascar. It was identified in 2005, but not formally described until 2015. Its conservation status has not been determined, but it is at risk from deforestation and possibly hunting from nearby human populations."
Saimiri collinsi,Mammalia,Primates,Cebidae,Saimiri,Saimiri,Collins' squirrel monkey (Saimiri collinsii) is a species of squirrel monkey from Brazil. It had been considered a subspecies of the common squirrel monkey (S. sciureus) until a genetic study by Jessica Lynch Alfaro et al. elevated it to species status.
Macaca leucogenys,Mammalia,Primates,Cercopithecidae,Macaca,Macaca,"The white-cheeked macaque (Macaca leucogenys) is a species of macaque found only in Mêdog County in southeastern Tibet and Arunachal Pradesh in northeastern India. The white-cheeked macaque lives in forest habitats, from tropical forests to primary and secondary evergreen broad-leaved forests and mixed broadleaf-conifer forests. The species was first described by its discoverers, Chinese primatologists Cheng Li, Chao Zhao, and Peng-Fei Fan, in the American Journal of Primatology in 2015. It is one of twenty-three extant species in the genus Macaca, and the most recent to be formally described to science. While the species' exact conservation status has not yet been determined, it is likely threatened by poaching, deforestation, and increased human development of its habitat, much like the other primates which inhabit the area."
Cacajao hosomi,Mammalia,Primates,Pitheciidae,Cacajao,Cacajao,"The Neblina uakari (Cacajao hosomi) or black-headed uakari, is a newly described species of monkey from the far northwest Brazilian Amazon and adjacent southern Venezuela. It was found by Jean-Phillipe Boubli of the University of Auckland and described together with the more easternly distributed Aracá uakari in 2008. Until then, the black-headed uakari (found to the west and south of the Neblina uakari) was the only species of mainly black uakari that was recognized."
Cacajao ayresi,Mammalia,Primates,Pitheciidae,Cacajao,Cacajao,"The Aracá uakari (Cacajao ayresi), also known as the Ayres black uakari, is a newly described species of monkey from the northwest Brazilian Amazon. It was found by Jean-Phillipe Boubli of the University of Auckland after following native Yanomamo Indians on their hunts along the Rio Aracá, a northern tributary of the Rio Negro. It was subsequently described in 2008 together with the more westerly distributed Neblina uakari. Until then, the black-headed uakari was the only species of mainly black uakari that was recognized."
Pithecia vanzolinii,Mammalia,Primates,Pitheciidae,Pithecia,Pithecia,"Vanzolini's bald-faced saki (Pithecia vanzolinii) is a species of saki monkey, a type of New World monkey. Its range is in western Brazil. The monkey is named after Brazilian zoologist Paulo Vanzolini. This species was originally described by Hershkovitz as the subspecies Pithecia irrorata vanzolinii based on individuals collected in 1936 by Alfonso M. Olalla, but it was raised to full species status in 2014. For many years, there had been no record of the species in nature. Further specimens were collected in 1956 by Fernando Novaes (the then director of the Goeldi Museum in Pará) and his assistant Miguel Moreira. The mammals in this expedition were collected alive and prepared as museum specimens, as described by Cory T. Carvalho, the mammalogist working at the Goeldi museum at the time"
Pithecia napensis,Mammalia,Primates,Pitheciidae,Pithecia,Pithecia,"The Napo saki (Pithecia napensis), also known as the Napo monk saki, is a species of saki monkey, a type of New World monkey. Its range includes parts of eastern Ecuador and northern Peru. The name is derived from the Napo River in its locality. This species was originally described by Lönnberg as the subspecies Pithecia monachus napensis and has been treated as a synonym of P. monachus monachus. Hershkovitz retained it under P. monachus in 1987, but it was raised to full species status in 2014."
Pithecia milleri,Mammalia,Primates,Pitheciidae,Pithecia,Pithecia,"Miller's saki (Pithecia milleri), also known as Miller's monk saki, is a species of saki monkey, a type of New World monkey. Its range includes parts of southwestern Colombia, northeastern Ecuador, and perhaps adjacent areas in Peru. This species was originally described as a species by J. A. Allen, demoted to a subspecies of the monk saki (P. monachus) in 1987, and raised back to full species status in 2014."
Pithecia chrysocephala,Mammalia,Primates,Pitheciidae,Pithecia,Pithecia,"The golden-faced saki (Pithecia chrysocephala) is a species of saki monkey, a type of New World monkey. It is found in Brazil north of the Amazon, on both sides of the Rio Negro. This species was formerly considered a subspecies of the white-faced saki (P. pithecia), but was raised to full species status in 2014. The species is named for the coloration of the male, which has black body hair but orange or red-brown facial hair. The female has lighter body color and more bare skin on the face, with lines of orange hair extending down from below the eyes around the snout, as well as orange ventral fur."
Eumops ferox,Mammalia,Chiroptera,Molossidae,Eumops,Eumops,"Eumops ferox, the fierce bonneted bat or the chestnut mastiff bat, is a species of free-tailed bat found in the Caribbean and Mexico. Until recently, it was synonymous with Wagner's bonneted bat."
Mormopterus halli,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,"Ozimops halli is a species of molossid bat, referred to as freetails, which is found at the Cape York Peninsula in Australia."
Mormopterus cobourgianus,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,"Ozimops cobourgianus is a species of molossid bat, insectivorous flying mammals known as freetail bats, which are found in north and west coastal regions of Australia. First described in 1959, the group were later recognised as species Mormopterus cobourgianus and soon placed with a new genus. They are associated with mangrove habitat and roost in the hollows of those trees, and known to seek food there and in eucalypt or melaleuca woodland or other coastal habitat. A smaller bat of genus Ozimops, O. cobourgianus are around fifty millimetres (two inches) long and weigh six to ten grams. Little is known of the their habits."
Mormopterus ridei,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,Ozimops ridei is a species of molossid bat found in Australia
Mormopterus lumsdenae,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,"Ozimops lumsdenae is a species of molossid bat found in Australia, the largest of the genus Ozimops."
Canis anthus,Mammalia,Carnivora,Canidae,Canis,Canis,"The African golden wolf (Canis anthus), also known as the Egyptian jackal or grey jackal,, is a canid native to north and northeastern Africa. The species is the descendant of a genetically admixed canid of 72% grey wolf and 28% Ethiopian wolf ancestry. The species is common in north-west and north-east Africa, occurring from Senegal to Egypt in the east, in a range including Morocco, Algeria, Tunisia and Libya in the north to Nigeria, Chad and Tanzania in the south. It is a desert-adapted canid, and is common in plains and steppe areas, including ones lacking abundant water. In the Atlas Mountains, the species has been sighted in elevations as high as 1,800 metres. It is primarily a predator, targeting invertebrates and mammals as large as gazelle fawns, though larger animals are sometimes taken. Other foodstuffs include animal carcasses, human refuse, and fruit. The African wolf is a monogamous and territorial animal, whose social structure includes yearling offspring remaining with the family to assist in raising their parents' younger pups."
Pedetes surdaster,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes,"The East African springhare (Pedetes surdaster), is not closely related to the hare, but is a member of the Pedetidae, a rodent family."
Mormopterus kitcheneri,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,"Ozimops kitcheneri, the south-western free-tailed bat, is a species of molossid bat found in Southwest Australia. A small flying mammal, it forages in forests and woodlands for insects."
Mormopterus petersi,Mammalia,Chiroptera,Molossidae,Mormopterus,Mormopterus,"Ozimops petersi, the inland free-tailed bat is a species of bat found in Australia."
Akodon caenosus,Mammalia,Rodentia,Cricetidae,Akodon,Akodon,"Akodon caenosus is a rodent in the genus Akodon found in northwestern Argentina and south-central Bolivia. Since its description in 1918, it has been alternatively classified as a separate species or a subspecies of Akodon lutescens (formerly Akodon puer). The species Akodon aliquantulus, described from some very small Argentine specimens in 1999, is now recognized as a synonym of A. caenosus."
Calomys cerqueirai,Mammalia,Rodentia,Cricetidae,Calomys,Calomys,"Calomys cerqueirai is a species of rodent in the genus Calomys from southeastern Brazil. Distinct from other Calomys in its karyotype and characters of the fur, it is known only from two places in Minas Gerais. The karyotype was first described in 1996 and the species was formally named in 2010."
Baiyankamys shawmayeri,Mammalia,Rodentia,Muridae,Baiyankamys,Baiyankamys,Shaw Mayer's water rat (Baiyankamys shawmayeri) is a semiaquatic species of rodent in the family Muridae. It is found in the mountains of Papua New Guinea.
Baiyankamys habbema,Mammalia,Rodentia,Muridae,Baiyankamys,Baiyankamys,"The mountain water rat (Baiyankamys habbema) is a semiaquatic species of rodent in the family Muridae. It is found in West Papua, Indonesia and Papua New Guinea. Its natural habitat is rivers."
Hydromys ziegleri,Mammalia,Rodentia,Muridae,Hydromys,Hydromys,"Ziegler's water rat (Hydromys ziegleri), discovered in the mid-2000s, is a semiaquatic species of rodent native to the mountains Papua New Guinea of which little is known."
Margaretamys christinae,Mammalia,Rodentia,Muridae,Margaretamys,Margaretamys,"Christine's margareta rat (Margaretamys christinae) is a species of rodent in the family Muridae. It is found only in Indonesia on the island of Sulawesi, in a mountainous part of the southeastern peninsula. It was first discovered by an expedition led by Alessio Mortelliti in 2011."
Paucidentomys vermidax,Mammalia,Rodentia,Muridae,Paucidentomys,Paucidentomys,"Paucidentomys is a genus of rodents of a type commonly known as shrew-rats which was discovered in 2012 in a remote rainforest on the Indonesian island, Sulawesi. The genus is monotypic, consisting of the species Paucidentomys vermidax. The name, which is Latin and may be translated as ""worm-eating few-toothed mouse"", refers to the fact that they have only two teeth and may live exclusively on a diet of earthworms. Paucidentomys vermidax is larger than Melasmothrix naso, Sommeromys macrorhinos and Tateomys macrocercus, similar in size to Tateomys rhinogradoides, smaller than Rhynchomys soricoides and substantially smaller than species of Echiothrix. The face is more elongate than that of any other Sulawesi shrew-rat, but similar in this regard to Rhynchomys. It has a very long rostrum (relative to other Sulawesi shrew-rats), small eyes, large ears, a soft pelage and a long, thick, hairy and dorsoventrally bi-coloured tail."
Waiomys mamasae,Mammalia,Rodentia,Muridae,Waiomys,Waiomys,"Waiomys is a genus of rodents from the family Muridae. It is endemic to Sulawesi, Indonesia. The genus is monotypic, consisting of the species Waiomys mamasae (Sulawesi water rat). It is known only from Mount Gandangdewata, Mamasa Regency, West Sulawesi."
Oecomys sydandersoni,Mammalia,Rodentia,Cricetidae,Oecomys,Oecomys,"Oecomys sydandersoni is an arboreal species of rodent in the genus Oecomys. It lives in forest patches in a small area in eastern Bolivia. It is a medium-sized species, weighing about 45 g, with mostly grayish and brownish fur and short and broad hindfeet with well-developed pads."
Saxatilomys paulinae,Mammalia,Rodentia,Muridae,Saxatilomys,Saxatilomys,"Paulina's limestone rat (Saxatilomys paulinae) is a genus of murid rodent native to central Laos and Vietnam. It was first discovered in the Khammouan Limestone National Biodiversity Conservation Area in Khammouan Province, Laos, and also been found in the Vietnamese province of Quang Bình. It is the only known species in the genus Saxatilomys. The genus name is derived from the Latin saxatilis, meaning ""among the rocks"" and the Greek mys, meaning mouse or rat."
Leptomys arfakensis,Mammalia,Rodentia,Muridae,Leptomys,Leptomys,"Leptomys arfakensis is a species of rodent in the family of Muridae. It is found in the Arfak Mountains of West Papua, Indonesia."
Leptomys paulus,Mammalia,Rodentia,Muridae,Leptomys,Leptomys,Leptomys paulus is a small rodent belonging to the family Muridae endemic to New Guinea.
Coccymys shawmayeri,Mammalia,Rodentia,Muridae,Coccymys,Coccymys,Coccymys shawmayeri is a rodent in the family of Muridae native to New Guinea. The species was described in 2009.
Coccymys kirrhos,Mammalia,Rodentia,Muridae,Coccymys,Coccymys,Coccymys kirrhos is a rodent in the family Muridae that is native to New Guinea. The species was described in 2009.
Eliurus danieli,Mammalia,Rodentia,Nesomyidae,Eliurus,Eliurus,"Daniel's tufted-tailed rat (Eliurus danieli) is a species of rodent in the family Nesomyidae. It was discovered in 2003 in the Parc National de l’Isalo in south-central Madagascar. It is named for Daniel Rakotondravony, professor of animal biology at the University of Antananarivo, Madagascar."
Neomicroxus latebricola,Mammalia,Rodentia,Cricetidae,Neomicroxus,Neomicroxus,The Ecuadorian grass mouse (Neomicroxus latebricola) is a species of rodent in the family Cricetidae. It is found only in Ecuador.
Neomicroxus bogotensis,Mammalia,Rodentia,Cricetidae,Neomicroxus,Neomicroxus,"The Bogotá grass mouse or Bogotá akodont, (Neomicroxus bogotensis) is a species of rodent in the family Cricetidae. It is found in the Andes eastern and central Colombia and northwestern Venezuela. Alavarado-Serrano and D'Elía (2013) have assigned the species to a new genus, Neomicroxus along with Neomicroxus latebricola."
Hylomyscus kerbispeterhansi,Mammalia,Rodentia,Muridae,Hylomyscus,Hylomyscus,"The Kerbis Peterhans's wood mouse (Hylomyscus kerbispeterhansi) is a species of rodent in the family Muridae. It is found in western Kenya, and presumably eastern Uganda on Mt. Elgon, and was first described as a new species to science in 2014. Its natural habitat is tropical montane rainforest. It occurs in sympatry with Hylomyscus endorobae in the Mau Forest of Kenya."
Microhydromys argenteus,Mammalia,Rodentia,Muridae,Microhydromys,Microhydromys,"The southern groove toothed moss-mouse (Microhydromys argenteus) is a species of rodent in the family Muridae found in Southern Papua New Guinea. As opposed to M. richardsoni, argenteus sp can be differentiated most prominently by its gray-brown pelage."
Musseromys gulantang,Mammalia,Rodentia,Muridae,Musseromys,Musseromys,"Banahaw tree mouse (Musseromys gulantang) is a species of rodent in the family of Muridae. It is named after Mount Banahaw in Luzon, Philippines."
Soricomys musseri,Mammalia,Rodentia,Muridae,Soricomys,Soricomys,The Sierra Madre shrew mouse (Soricomys musseri) is a species of mammal from the Philippines.
Soricomys kalinga,Mammalia,Rodentia,Muridae,Soricomys,Soricomys,"Soricomys kalinga is a rodent of the genus Soricomys found in the northern province of Kalinga, island of Luzon, in the northern Philippines."
Sooretamys angouya,Mammalia,Rodentia,Cricetidae,Sooretamys,Sooretamys,"Sooretamys angouya, also known as the rat-headed rice rat, and Paraguayan rice rat, is a rodent species from South America. It is found in northeastern Argentina, southern Brazil and Paraguay in forested areas within the Atlantic Forest and cerrado. Since 2006, it has been classified as the only species in the genus Sooretamys; previously, it was included in the genus Oryzomys. Its taxonomic history has been complex, with the names Oryzomys angouya, Oryzomys buccinatus, and Oryzomys ratticeps in use for various parts of the species at different times. Some variation in its karyotype has been reported, with 2n = 80 to 82 and FN = 88 to 90."
Nephelomys pectoralis,Mammalia,Rodentia,Cricetidae,Nephelomys,Nephelomys,"Nephelomys pectoralis is a species of rodent in the genus Nephelomys of family Cricetidae. Its type locality is 40 mi west of the city of Popayán, Cauca Department, Colombia, at an altitude of 10340 ft. American zoologist Joel Asaph Allen first described it in 1912 on the basis of 112 specimens from several locations in the Cordillera Occidental. He classified it as a species of Oryzomys, Oryzomys pectoralis, but later subsumed into the species Oryzomys albigularis. When that species was transferred to the new genus Nephelomys in 2006, N. pectoralis was recognized as a separate species."
Transandinomys talamancae,Mammalia,Rodentia,Cricetidae,Transandinomys,Transandinomys,"Transandinomys talamancae is a rodent in the genus Transandinomys that occurs from Costa Rica to southwestern Ecuador and northern Venezuela. Its habitat consists of lowland forests up to 1525 m above sea level. With a body mass of 38 to 74 g, it is a medium-sized rice rat. The fur is soft and is reddish to brownish on the upperparts and white to buff on the underparts. The tail is dark brown above and lighter below and the ears and feet are long. The vibrissae (whiskers) are very long. In the skull, the rostrum (front part) is long and the braincase is low. The number of chromosomes varies from 34 to 54."
Oreoryzomys balneator,Mammalia,Rodentia,Cricetidae,Oreoryzomys,Oreoryzomys,"Oreoryzomys balneator, also known as the Peruvian rice rat or Ecuadoran oryzomys, is a species of rodent in the tribe Oryzomyini of family Cricetidae. It is found in Ecuador and northern Peru in cloud forest at elevations from 1500 to 1800 m. It is the only species in the genus Oreoryzomys, which was included in Oryzomys until 2006. The genus name Oreoryzomys is a combination of ορος the Greek word for ""mountain"" with the old genus name Oryzomys and refers to the mountainous habitat of O. balneator. Recent research suggests that O. balneator is not closely related to Oryzomys, but instead is probably related to Microryzomys within a clade also including Neacomys and Oligoryzomys."
Nephelomys nimbosus,Mammalia,Rodentia,Cricetidae,Nephelomys,Nephelomys,"Nephelomys nimbosus is a species of rodent in the genus Nephelomys of family Cricetidae. Its type locality is at San Antonio on the northeastern slope of the Tungurahua in the Andes of Ecuador, at an altitude of about 6700 ft. The type series included five individuals."
